01_latin_order,02_latin_tokens,03_eng_direct_tokens,1656_en,1743_en,1872_en,1886_en,1916_en,1936_en
145.0,te,you (acc),thine,thee,thou,thee,thee,thou
146.0,sociam,"be with, friend, associate,",ayde,companion,companion,helpmate,co-partner,helper
147.0,studeo,studying,studious,0,0,0,0,0
148.0,scribendis,to write (writing),0,0,0,writing,0,writing
149.0,versibus,verses,0,lays,verse,verses,verse,verses
150.0,esse,are,0,0,be,0,0,be
151.0,quos,whom,which,which,which,which,which,which
152.0,ego,I,i,i,i,i,i,i
153.0,de,about,of,of,on,of,on,of
154.0,rerum,things,works,0,things,things,0,things
155.0,natura,nature,natures,nature,nature,nature,nature,nature
156.0,pangere,"to make, compose, write",essay,sing,0,essay,0,essay
157.0,conor,try,0,0,0,0,0,0
158.0,memmiadae,Memmius,memmius,memmius,memmius,memmii,memmius,memmii
159.0,nostro,our,0,my,0,our,0,my
160.0,quem,whom,who,whom,whom,whom,whom,whom
161.0,tu,you,thee,thou,thou,thou,thou,thou
162.0,dea,goddess,goddess,goddess,goddess,goddess,0,goddess
163.0,tempore,times,0,ever,0,ever,0,0
164.0,in,in,0,0,0,0,0,through
165.0,omni,all,eternal,every,every,every,every,all
166.0,omnibus,"all, everything",0,0,0,0,every,every
167.0,ornatum," prepare, ornate, decorated, supply",0,adorn,adorned,0,0,bright
168.0,voluisti,(you) wanted,0,0,0,willed,willed,willed
169.0,excellere,excell in,excell,grace,excel,peer,peerless,grace
170.0,rebus,things,0,0,0,0,0,0
171.0,quo,"where, for, why",0,0,0,wherefore,0,therefore
172.0,magis,more,0,0,rather,more,0,more
173.0,aeternum,eternal,0,immortal,immortal,everliving,immortal,0
174.0,da,give,0,give,give,lend,0,0
175.0,dictis,words,flow,verse,words,lays,words,words
176.0,diva,goddess,0,deity,goddess,lady,divine,goddess
177.0,leporem,charm,0,beauty,grace,charm,charm,loveliness
178.0,effice,"make, create, succeed",0,0,cause,cause,0,0
179.0,ut,in,0,0,0,0,0,0
180.0,interea,meantime,0,0,meanwhile,meanwhile,0,meantime
181.0,fera,beast,0,bloody,fierce,savage,savage,wild
182.0,moenera,"rewards, gift, duty",0,tumults,arts,works,works,works
183.0,militiai,of war,wars,war,war,war,war,warfare
184.0,per,for,by,by,throughout,throughout,o'er,over
185.0,maria,seas,seas,sea,seas,seas,sea,seas
186.0,ac,and,and,and,and,and,and,and
187.0,terras,earth,land,land,lands,lands,land,lands
188.0,omnis,"all, everybody",0,0,all,all,0,0
189.0,sopita,"sleep, repose",peace,asleep,rest,rest,rest,sleep
190.0,quiescant,"sleep, repose, calmly, quietly",0,compose,hushed,lulled,0,lulled
191.0,nam,for,0,for,for,for,for,for
192.0,tu,you,thou,thou,thou,thou,thou,thou
193.0,sola,only,alone,alone,alone,alone,alone,only
194.0,potes,can,canst,canst,canst,canst,hast,canst
195.0,tranquilla,tranquil,0,quiet,tranquil,calm,0,quiet
196.0,pace,peace,rest,peace,peace,peace,peace,peace
197.0,iuvare,help,0,bless,bless,bless,aid,bless
198.0,mortalis,"mortals, humans",0,mankind,mortals,mankind,mortality,mortal
199.0,quoniam,"for, since",since,because,since,that,since,since
200.0,belli,war,wars,war,war,war,battle,war
201.0,fera,beast,direful,bloody,0,savage,savage,wild
202.0,moenera,0,0,tumults,0,works,works,works
203.0,mavors,Mars,mars,mars,mars,mavors,mars,mavors
204.0,armipotens,in arms powerful,0,armipotent,potent,lord,puissant,lord
205.0,regit,"to rule, to govern",lord,rules,rules,controls,rules,guides
206.0,in,in,on,in,upon,into,to,upon
207.0,gremium,"lap, bossom",bosom,lap,bosom,lap,bosom,lap
208.0,qui,who,0,0,who,who,0,0
209.0,saepe,often,oft,0,oft,often,often,oft
210.0,tuum,yours,0,0,thy,0,0,thy
211.0,se,himself,his,he,0,himself,his,himself
212.0,reiicit,rejects,resting,0,o'erpowered,flings,flings,flings
213.0,aeterno,"forever, eternal",lasting,everlasting,eternal,never-healing,eternal,eternal
214.0,devictus,"defeated, conquered",vanquished,bound,bound,vanquished,o'ermastered,conquered
215.0,vulnere,wound,wounds,pains,wound,wound,wound,wound
216.0,amoris,of love,love,love,love's,love,love,love
217.0,atque,and,0,0,0,0,and,and
218.0,ita,so ,0,0,thence,then,there,then
219.0,suspiciens,looking up,bending,back,looking,upturned,backward,pillowing
220.0,tereti,round,round,long,rounded,shapely,full,shapely
221.0,cervice,the neck,neck,neck,neck,neck,throat,neck
222.0,reposta,"put down, to place, deposit",lyes,0,turned,thrown,0,0
223.0,pascit,feeds,feeds,sucks,feeding,feeds,0,feeds
224.0,amore,love ,amorous,love,love,love,love,with
225.0,avidos,"greedy, avid",greedy,greedily,0,greedy,greedy,greedy
226.0,inhians,"eager, gaping, yearning (open mouth)",passion,0,apart,open-mouthed,open-mouthed,0
227.0,in,in,0,0,0,on,0,0
228.0,te,you (acc),0,thy,0,thee,thee,thee
229.0,dea,goddess,0,0,0,goddess,goddess,0
230.0,visus,see / sight,0,views,gaze,sight,sight,gazing
231.0,eque,0,0,0,0,0,0,0
232.0,tuo,yours,0,0,0,0,0,0
233.0,pendet,"hang, suspend",plac'd,hangs,suspends,reclines,0,lies
234.0,resupini,"bent back, lying on back, supine, reclined",0,supinely,0,backward,0,back
235.0,spiritus,breath of,soul,soul,breath,breath,breath,breath
236.0,ore,mouth,0,lips,mouth,0,lips,lips
237.0,hunc,him,0,he,0,0,him,he
238.0,tu,you,0,0,0,0,0,thou
239.0,diva,goddess,0,god,0,lady,0,goddess
240.0,tuo,on your,0,thy,0,thy,0,thy
241.0,recubantem,reclining,0,cling,recumbent,reposing,reclined,leans
242.0,corpore,body,arms,limbs,form,body,body,limbs
243.0,sancto,holy,sacred,heavenly,sacred,holy,holy,sacred
244.0,circum,"round, around",0,round,0,about,round,0
245.0,fusa,"to pour out, to shed | | round, spindle, spinning wheel ?",0,0,pour,shed,pour,pour
246.0,super,"on top, above",0,0,0,above,above,0
247.0,suavis,"sweet, grateful",sweet,soft,sweet,sweet,soft,sweet
248.0,ex,from,0,0,from,from,from,from
249.0,ore,mouth,lips,0,lips,lips,lips,lips
250.0,loquellas,"speech, words, chatter",accents,eloquence,words,discourse,syllables,petition
251.0,funde,"to pour out, to shed",0,0,0,0,0,0
252.0,petens,"seek, look for",require,implore,Imploring,asking,win,seeking
253.0,placidam,"a mild, placid",happy,0,placid,gentle,0,gentle
254.0,romanis,Romans,rome,rome,Rome,romans,romans,romans
255.0,incluta,"celebrated, famous, glorious",0,0,0,0,glorious,0
256.0,pacem,peace,peace,peace,peace,peace,peace,peace
257.0,nam,for,for,for,For,for,for,for
258.0,neque,neither,0,neither,neither,neither,neither,neither
259.0,nos,of us,we,i,I,we,i,we
260.0,agere,"to act, lead, move",philosophize,write,pursue,think,attend,set
261.0,hoc,"here, in this place",0,0,0,0,0,0
262.0,patriai,fatherland,countrey,0,country's,country’s,state,country’s
263.0,tempore,times,whilst,times,hours,day,season,time
264.0,iniquo,"uneven, unjust, evil, wicked",afflicted,sad,adverse,trouble,troublous,trouble
265.0,possumus,can,can,can,Can,can,may,can
266.0,aequo,equally,0,cheerful,tranquil,untroubled,untroubled,undistressed
267.0,animo,animated,0,strains,mind,mind,thought,mind
268.0,nec,not,0,nor,Nor,nor,nor,nor
269.0,memmi,Memmii,memmius,memmius,Memmian,memmius,memmian,memmius’s
270.0,clara,bright,brave,noble,stock,illustrious,illustrious,noble
271.0,propago,"propagate, increase, flourish",0,house,scion,offset,scion,son
272.0,talibus,such,such,such,0,0,this,0
273.0,in,in ,in,in,0,0,0,0
274.0,rebus,things,perplexitie,things,0,0,task,task
275.0,communi,"common, societal, of society",publike,common,common,general,civic,state
276.0,desse,"missing, in need, wanting",wanting,distress,wanting,wanting,neglect,fail
277.0,saluti,"welfare, health",peace,good,weal,weal,cause,fortunes
