01_latin_order,02_latin_tokens,03_eng_direct_tokens,1656_en,1656_order,1656_order_diff,1743_en,1743_order,1743_order_diff,1872_en,1872_order,1872_order_diff,1886_en,1886_order,1886_order_diff,1916_en,1916_order,1916_order_diff,1936_en,1936_order,1936_order_diff
19.0,per,across,dost,,,bearing,14.0,5.0,gliding,10.0,9.0,fillest,,,the,,,heaven,8.0,11.0
20.0,te,you (acc),all,,,the,,,signs,11.0,9.0,with,,,many-voyaged,,,fillest,,
21.0,quoniam, since then / because,comfort,,,ships,,,of,,,thy,,,main,,,with,,
22.0,genus,"origin, race, stock",bring,,,the,,,heaven,8.0,14.0,presence,,,and,,,life,,
23.0,omne,"all, every",and,,,fruitful,17.0,6.0,throughout,,,the,,,fruitful,17.0,6.0,the,,
24.0,animantum,,mirth,,,earth,16.0,8.0,ship-bearing,14.0,10.0,ship-carrying,14.0,10.0,lands,16.0,8.0,sea,13.0,11.0
25.0,concipitur,"take up, take in, take",to,,,all,,,seas,13.0,12.0,sea,13.0,12.0,--,,,that,,
26.0,visitque,"to look, view",the,,,things,,,corn-bearing,17.0,9.0,the,,,for,21.0,5.0,carries,14.0,12.0
27.0,exortum,"to come out, rise, appear",ship-bearing,14.0,13.0,beneath,9.0,18.0,lands,16.0,11.0,corn-bearing,17.0,10.0,all,23.0,4.0,the,,
28.0,lumina,light,seas,13.0,15.0,the,,,—,,,lands,16.0,12.0,of,,,ships,,
29.0,solis,sun,corn-bearing,17.0,12.0,rolling,10.0,19.0,since,21.0,8.0,since,21.0,8.0,living,24.0,5.0,and,,
,,,earth,16.0,,signs,11.0,,'tis,,,through,19.0,,things,22.0,,the,,
,,,by,19.0,,of,,,through,19.0,,thee,20.0,,through,19.0,,land,16.0,
,,,thee,20.0,,heaven,8.0,,thy,20.0,,every,23.0,,thee,20.0,,that,15.0,
,,,conceiv'd,25.0,,for,21.0,,soft,,,kind,22.0,,alone,,,bears,17.0,
,,,since,21.0,,‘tis,,,influence,,,of,,,are,,,the,,
,,,all,23.0,,by,19.0,,conceived,25.0,,living,24.0,,evermore,,,crops,,
,,,things,22.0,,thee,20.0,,all,23.0,,things,,,conceived,25.0,,for,21.0,
,,,living,24.0,,creatures,24.0,,living,24.0,,is,,,through,,,thanks,,
,,,be,,,of,,,things,22.0,,conceived,25.0,,thee,,,to,,
,,,beholding,26.0,,every,23.0,,rise,27.0,,rises,27.0,,are,,,thee,20.0,
,,,the,,,kind,22.0,,to,,,up,,,risen,27.0,,every,23.0,
,,,suns,29.0,,conceive,25.0,,behold,26.0,,and,,,to,,,tribe,22.0,
,,,light,28.0,,rise,27.0,,the,,,beholds,26.0,,visit,,,of,,
,,,,,,into,,,light,28.0,,the,,,the,,,living,24.0,
,,,,,,life,,,—,,,light,28.0,,great,,,things,,
,,,,,,and,,,,,,of,,,sun,29.0,,is,,
,,,,,,view,26.0,,,,,the,,,--,,,conceived,25.0,
,,,,,,the,,,,,,sun,29.0,,,,,and,,
,,,,,,sun’s,29.0,,,,,,,,,,,comes,27.0,
,,,,,,bright,,,,,,,,,,,,forth,,
,,,,,,beams,28.0,,,,,,,,,,,to,,
,,,,,,,,,,,,,,,,,,look,26.0,
,,,,,,,,,,,,,,,,,,upon,,
,,,,,,,,,,,,,,,,,,the,,
,,,,,,,,,,,,,,,,,,light,28.0,
,,,,,,,,,,,,,,,,,,of,,
,,,,,,,,,,,,,,,,,,the,,
,,,,,,,,,,,,,,,,,,sun,29.0,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
30.0,te,you (acc),the,,,thee,30.0,0.0,before,,,before,,,before,,,thou,30.0,0.0
31.0,dea,goddess,winds,34.0,-3.0,goddess,31.0,0.0,thee,30.0,1.0,thee,30.0,1.0,thee,30.0,1.0,goddess,31.0,0.0
32.0,te,you (acc),do,,,thee,32.0,0.0,goddess,31.0,1.0,goddess,31.0,1.0,goddess,31.0,1.0,thou,32.0,0.0
33.0,fugiunt,"fly, take flight",flee,33.0,0.0,the,,,thee,32.0,1.0,flee,33.0,0.0,and,,,dost,,
34.0,venti,winds // ? to come (gen/voc),o,30.0,4.0,winds,34.0,0.0,the,,,the,,,thy,39.0,-5.0,turn,33.0,1.0
35.0,te,you (acc),goddess,31.0,4.0,avoid,,,winds,34.0,1.0,winds,34.0,1.0,coming,38.0,-3.0,to,,
36.0,nubila,clouds,and,,,the,,,are,,,the,,,on,,,flight,,
37.0,caeli,celestial,the,,,clouds,36.0,1.0,hushed,33.0,4.0,clouds,36.0,1.0,flee,33.0,4.0,the,,
38.0,adventumque,"to reach, arrive at",clouds,36.0,2.0,fly,33.0,5.0,before,,,of,,,stormy,,,winds,34.0,4.0
39.0,tuum,yours (acc),which,,,thee,35.0,4.0,thy,39.0,0.0,heaven,37.0,2.0,wind,34.0,5.0,and,,
,,,skies,37.0,,and,,,coming,38.0,,before,,,and,,,the,,
,,,benight,,,thy,39.0,,are,,,thee,35.0,,massy,,,clouds,36.0,
,,,are,,,approach,38.0,,the,,,and,,,cloud,36.0,,of,,
,,,dissipated,,,,,,clouds,36.0,,thy,39.0,,away,,,heaven,37.0,
,,,when,,,,,,dispersed,,,advent,38.0,,,,,thou,,
,,,thou,39.0,,,,,,,,,,,,,,,,
,,,com'st,38.0,,,,,,,,,,,,,,,,
,,,in,,,,,,,,,,,,,,,,,
,,,sight,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,at,,
,,,,,,,,,,,,for,,,for,,,thy,39.0,
40.0,tibi,"you (fem, dat)",smooth,48.0,-8.0,with,,,the,,,thee,40.0,0.0,thee,40.0,0.0,coming,38.0,2.0
41.0,suavis,"sweet, agreeable, grateful",seas,49.0,-8.0,various,,,plastic,42.0,-1.0,earth,43.0,-2.0,the,,,,,
42.0,daedala,skilful / Daedalus,and,,,art,42.0,0.0,earth,43.0,-1.0,manifold,42.0,0.0,daedal,42.0,0.0,for,,
43.0,tellus,"the earth, globe",heavens,54.0,-11.0,the,,,spreads,44.0,-1.0,in,,,earth,43.0,0.0,thee,40.0,3.0
44.0,summittit,puts forth,smile,47.0,-3.0,earth,43.0,1.0,flowers,45.0,-1.0,works,,,bears,44.0,0.0,earth,43.0,1.0
45.0,flores,"a blossom, flower",under,,,for,,,before,,,puts,44.0,1.0,scented,41.0,4.0,the,,
46.0,tibi,"you (fem, dat)",thy,46.0,0.0,thee,40.0,6.0,thy,46.0,0.0,forth,,,flowers,45.0,1.0,quaint,42.0,4.0
47.0,rident,"to smile, to laugh (3rd plural)",feet,,,affords,44.0,3.0,feet,,,sweet-smelling,41.0,6.0,for,,,artificer,,
48.0,aequora,"even surface, level (acc)",th'inamel'd,42.0,6.0,her,,,thy,,,flowers,45.0,3.0,thee,46.0,2.0,puts,44.0,4.0
49.0,ponti,the sea / bridge,earth,43.0,6.0,sweetest,41.0,8.0,presence,,,for,,,waters,48.0,1.0,forth,,
50.0,placatumque,"to quiet, soothe, appease (sg, perf)",doth,,,flowers,45.0,5.0,makes,,,thee,46.0,4.0,of,,,her,,
51.0,nitet,to shine (3rd sg),her,,,for,,,the,,,the,,,the,,,sweet-scented,41.0,10.0
52.0,diffuso,"to spread, pour out",sweet,41.0,11.0,thee,46.0,6.0,plains,48.0,4.0,levels,48.0,4.0,unvexed,,,flowers,45.0,7.0
53.0,lumine,"light (sg, abl)",flowers,45.0,8.0,the,,,of,,,of,,,deep,49.0,4.0,for,,
54.0,caelum,celestial,submit,44.0,10.0,sea’s,49.0,5.0,ocean,49.0,5.0,the,,,smile,47.0,7.0,thee,46.0,8.0
,,,,,,rough,,,smile,47.0,,sea,49.0,,and,,,the,,
,,,,,,waves,,,the,,,do,,,the,,,levels,48.0,
,,,,,,put,,,sky,54.0,,laugh,47.0,,hollows,,,of,,
,,,,,,on,,,shine,51.0,,and,,,of,,,ocean,49.0,
,,,,,,their,,,placid,50.0,,heaven,54.0,,the,,,smile,47.0,
,,,,,,smiles,47.0,,with,,,propitiated,50.0,,serene,50.0,,and,,
,,,,,,and,,,diffused,52.0,,shines,51.0,,sky,54.0,,the,,
,,,,,,the,,,light,53.0,,with,,,glow,51.0,,sky,54.0,
,,,,,,smooth,50.0,,,,,outspread,52.0,,with,,,its,,
,,,,,,sky,54.0,,,,,light,53.0,,diffused,52.0,,anger,,
,,,,,,shines,51.0,,,,,,,,radiance,53.0,,past,,
,,,,,,with,,,,,,,,,,,,gleams,51.0,
,,,,,,diffused,52.0,,,,,,,,,,,with,,
,,,,,,light,53.0,,,,,,,,,,,spreading,52.0,
,,,,,,,,,,,,,,,,,,light,53.0,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
55.0,nam,for,for,55.0,0.0,for,55.0,0.0,soon,56.0,-1.0,for,55.0,0.0,for,,,for,55.0,0.0
56.0,simul,"at the same time, together, at once",when,56.0,0.0,when,56.0,0.0,as,,,soon,56.0,0.0,thee,,,when,56.0,0.0
57.0,ac,and (from atque),the,,,the,,,the,,,as,,,for,55.0,2.0,once,,
58.0,species,"face, a sight, look, view (sg fem, nom)",springs,60.0,-2.0,buxom,,,vernal,60.0,-2.0,the,,,soon,56.0,2.0,the,,
59.0,patefactast,"to lay open, open",return,,,spring,60.0,-1.0,day,61.0,-2.0,vernal,60.0,-1.0,as,,,face,58.0,1.0
60.0,verna,of spring (adj sg fem),brings,59.0,1.0,leads,59.0,1.0,unlocks,59.0,1.0,aspect,58.0,2.0,comes,59.0,1.0,of,,
61.0,diei,"day (sg, masc gen)",the,,,on,,,the,,,of,,,the,,,the,,
62.0,et,and  ,clear,,,the,,,year,,,day,61.0,1.0,springtime,60.0,2.0,spring,60.0,2.0
63.0,reserata,to take by storm,day,61.0,2.0,year,,,and,,,is,,,face,58.0,5.0,day,61.0,2.0
64.0,viget,"to be lively, be vigorous, thrive",and,62.0,2.0,and,,,zephyrs,67.0,-3.0,disclosed,59.0,5.0,of,,,is,,
65.0,genitabilis,of (adj sg masc gen),genial,65.0,0.0,genial,65.0,0.0,breathe,66.0,-1.0,and,62.0,3.0,day,61.0,4.0,revealed,59.0,6.0
66.0,aura,"wind, air (in motion), a breeze, wind",west,67.0,-1.0,gales,,,their,,,the,,,and,,,and,,
67.0,favoni, the west wind (Favonius),with,,,of,,,fecundating,63.0,4.0,birth-favoring,65.0,2.0,procreant,65.0,2.0,the,,
68.0,aeriae,airy (adj),kindely,64.0,4.0,western,67.0,1.0,breath,64.0,4.0,breeze,66.0,2.0,gales,63.0,5.0,teeming,65.0,3.0
69.0,primum,"the first, first",gales,63.0,6.0,winds,66.0,3.0,the,,,of,,,blow,66.0,3.0,breeze,,
70.0,volucris,  birds (noun pl fem acc),doth,,,blow,,,aerial,68.0,2.0,favonius,67.0,3.0,from,,,of,,
71.0,te,you (acc),play,,,fresh,64.0,7.0,birds,70.0,1.0,unbarred,,,the,,,the,,
72.0,diva,a goddess  / deity,first,69.0,3.0,unlock’d,63.0,9.0,smit,76.0,-4.0,is,,,west,67.0,5.0,west,67.0,5.0
73.0,tuumque,you / yours (adj sg neut voc),aery,68.0,5.0,from,,,by,,,blowing,63.0,10.0,unbarred,,,wind,66.0,7.0
74.0,significant,"to show, signify",birds,70.0,4.0,winter’s,,,thy,78.0,-4.0,fresh,64.0,10.0,first,69.0,5.0,is,,
75.0,initum,"to go into, enter",whose,,,cold,,,genial,,,first,69.0,6.0,fowls,70.0,5.0,loosed,,
76.0,perculsae,"throw down, overturn, ",brest,77.0,-1.0,the,,,power,79.0,-3.0,the,,,of,,,from,,
77.0,corda,the heart,thy,78.0,-1.0,airy,68.0,9.0,goddess,72.0,5.0,fowls,70.0,7.0,air,68.0,9.0,prison,,
78.0,tua,"yours, of you (adj sg fem abl)",powr,79.0,-1.0,birds,70.0,8.0,divine,,,of,,,smit,76.0,2.0,and,,
79.0,vi,"strength, force, power, virtue",doth,,,first,69.0,10.0,blithe,,,the,,,to,,,blows,,
,,,touch,76.0,,feel,,,herald,74.0,,air,68.0,,the,,,strong,,
,,,chant,,,thee,71.0,,thy,73.0,,o,71.0,,heart,77.0,,first,69.0,
,,,forth,,,goddess,72.0,,approach,75.0,,lady,72.0,,by,,,the,,
,,,o,,,and,,,,,,show,,,thee,,,birds,70.0,
,,,goddess,72.0,,express,,,,,,signs,74.0,,foretoken,74.0,,in,,
,,,thee,71.0,,thy,78.0,,,,,of,,,thy,73.0,,high,,
,,,&,,,power,79.0,,,,,thee,,,approach,75.0,,heaven,,
,,,thine,73.0,,thy,,,,,,and,,,o,,,herald,,
,,,approach,75.0,,active,,,,,,thy,73.0,,thou,71.0,,thee,71.0,
,,,,,,flame,,,,,,entering,75.0,,divine,72.0,,goddess,72.0,
,,,,,,strikes,76.0,,,,,in,,,,,,and,,
,,,,,,though,,,,,,thoroughly,,,,,,thine,73.0,
,,,,,,their,,,,,,smitten,76.0,,,,,approach,75.0,
,,,,,,very,,,,,,in,,,,,,their,,
,,,,,,souls,77.0,,,,,heart,77.0,,,,,hearts,77.0,
,,,,,,,,,,,,by,,,,,,thrilled,76.0,
,,,,,,,,,,,,thy,78.0,,,,,with,,
,,,,,,,,,,,,power,79.0,,,,,thy,78.0,
,,,,,,,,,,,,,,,,,,might,79.0,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
80.0,inde,"Of place, from that place, thence",then,80.0,0.0,and,,,the,,,next,80.0,0.0,and,,,then,80.0,0.0
81.0,ferae,"a wild beast, wild animal",savage,81.0,0.0,then,80.0,1.0,untamed,81.0,0.0,the,,,leap,83.0,-2.0,the,,
82.0,pecudes,cattle,bruits,82.0,0.0,the,,,herds,82.0,0.0,wild,81.0,1.0,the,,,tame,,
83.0,persultant,"to leap about, range through",jump,83.0,0.0,savage,81.0,2.0,o'er,,,herds,82.0,1.0,wild,81.0,2.0,beasts,82.0,1.0
84.0,pabula," fodder, pasturage, grass",ore,,,beasts,82.0,2.0,the,,,bound,83.0,1.0,herds,82.0,2.0,grow,,
85.0,laeta,"joyful, cheerful, glad,",the,,,with,,,glad,85.0,0.0,over,,,round,,,wild,81.0,4.0
86.0,et,and,flowry,85.0,1.0,wanton,,,pastures,84.0,2.0,the,,,the,,,and,86.0,0.0
87.0,rapidos,"tearing away, seizing, fierce",meads,84.0,3.0,play,,,bound,83.0,4.0,glad,85.0,2.0,happy,85.0,2.0,bound,83.0,4.0
88.0,tranant,"to swim over, swim across,",or,,,frisk,83.0,5.0,and,,,pastures,84.0,4.0,fields,84.0,4.0,over,,
89.0,amnis,river,take,88.0,1.0,o’er,,,swim,88.0,1.0,and,,,or,86.0,3.0,the,,
90.0,ita,"thus, so",the,,,the,,,the,,,swim,88.0,2.0,swim,88.0,2.0,fat,85.0,5.0
91.0,capta,"captivated, taken",streams,89.0,2.0,cheerful,85.0,6.0,rapid,87.0,4.0,the,,,the,,,pastures,84.0,7.0
92.0,lepore,charm,where,90.0,2.0,fields,84.0,8.0,streams,89.0,3.0,rapid,87.0,5.0,bounding,87.0,5.0,and,,
93.0,te,yours,ere,,,and,,,thus,90.0,3.0,rivers,89.0,4.0,torrents,89.0,4.0,swim,88.0,5.0
94.0,sequitur,follows,thy,93.0,1.0,swim,88.0,6.0,by,,,in,,,thus,90.0,4.0,the,,
95.0,cupide,"eagerly, passionately",beauty,92.0,3.0,the,,,thy,93.0,2.0,such,90.0,5.0,amain,,,racing,87.0,8.0
96.0,quo,where,leads,98.0,-2.0,rapid,87.0,9.0,charms,92.0,4.0,wise,,,seized,91.0,5.0,rivers,89.0,7.0
97.0,quamque,and how,each,,,streams,89.0,8.0,ta'en,,,each,,,with,,,so,90.0,7.0
98.0,inducere,"introduce, lead",creature,,,so,90.0,8.0,captive,91.0,7.0,made,,,the,,,surely,,
99.0,pergis,"to go, travel",doth,,,pleased,91.0,8.0,all,,,prisoner,91.0,8.0,spell,92.0,7.0,enchained,91.0,8.0
,,,with,,,with,,,that,,,by,,,all,,,by,,
,,,eager,95.0,,thy,,,lives,,,thy,93.0,,creatures,,,thy,,
,,,passion,,,sweetness,,,with,,,charms,92.0,,follow,94.0,,charm,92.0,
,,,goe,99.0,,so,,,eager,95.0,,follows,94.0,,thee,93.0,,each,,
,,,,,,transported,,,pant,,,thee,,,whithersoever,96.0,,follows,94.0,
,,,,,,by,,,follow,94.0,,with,,,thou,,,thee,,
,,,,,,thy,93.0,,thy,,,desire,95.0,,walkest,99.0,,in,,
,,,,,,soft,,,influence,,,whither,96.0,,forth,,,hot,,
,,,,,,charms,92.0,,wheresoe'er,96.0,,thou,,,to,,,desire,95.0,
,,,,,,all,,,it,,,goest,99.0,,lead,98.0,,whither,96.0,
,,,,,,living,,,leads,98.0,,to,,,,,,thou,,
,,,,,,nature,,,,,,lead,98.0,,,,,goest,99.0,
,,,,,,strives,,,,,,it,,,,,,before,,
,,,,,,with,,,,,,on,,,,,,to,,
,,,,,,sharp,,,,,,,,,,,,lead,98.0,
,,,,,,desire,95.0,,,,,,,,,,,him,,
,,,,,,to,,,,,,,,,,,,on,,
,,,,,,follow,94.0,,,,,,,,,,,,,
,,,,,,thee,,,,,,,,,,,,,,
,,,,,,her,,,,,,,,,,,,,,
,,,,,,guide,,,,,,,,,,,,,,
,,,,,,where,96.0,,,,,,,,,,,,,
,,,,,,thou,,,,,,,,,,,,,,
,,,,,,art,,,,,,,,,,,,,,
,,,,,,pleased,,,,,,,,,,,,,,
,,,,,,to,,,,,,,,,,,,,,
,,,,,,lead,98.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
100.0,denique,Finally,lastly,100.0,0.0,in,,,then,100.0,0.0,yes,,,and,,,yea,,
101.0,per,by ,through,101.0,0.0,short,,,through,101.0,0.0,throughout,101.0,0.0,thence,100.0,1.0,through,101.0,0.0
102.0,maria,seas,seas,102.0,0.0,thy,,,all,,,seas,102.0,0.0,through,101.0,1.0,seas,102.0,0.0
103.0,ac,and (from atque),and,103.0,0.0,power,,,seas,102.0,1.0,and,,,seas,102.0,1.0,and,103.0,0.0
104.0,montis,mountain,hills,104.0,0.0,inspiring,113.0,-9.0,the,,,mountains,104.0,0.0,and,,,mountains,104.0,0.0
105.0,fluviosque,rivers,where,,,every,112.0,-7.0,mountains,104.0,1.0,and,,,mountains,104.0,1.0,and,,
106.0,rapacis,"rapid, current, rapacious",rivers,105.0,1.0,breast,116.0,-10.0,and,,,sweeping,106.0,0.0,and,,,tearing,106.0,0.0
107.0,frondiferasque,leafy,flow,,,with,,,the,,,rivers,105.0,2.0,swift,106.0,1.0,rivers,105.0,2.0
108.0,domos,houses,with,,,tender,114.0,-6.0,streams,105.0,3.0,and,,,streams,105.0,3.0,and,,
109.0,avium,birds,rapid,106.0,3.0,love,117.0,-8.0,the,,,leafy,107.0,2.0,through,,,the,,
110.0,camposque,plains,course,,,drives,118.0,-8.0,leafy,107.0,3.0,homes,108.0,2.0,leafy,107.0,3.0,leafy,107.0,3.0
111.0,virentis,green,or,,,every,,,home,108.0,3.0,of,,,homes,108.0,3.0,haunts,108.0,3.0
112.0,omnibus,everybody,where,,,creature,,,of,,,birds,109.0,3.0,of,,,of,,
113.0,incutiens,strike,the,,,on,,,birds,109.0,4.0,and,,,birds,109.0,4.0,birds,109.0,4.0
114.0,blandum,"soothing, seductive",birds,109.0,5.0,with,,,the,,,grassy,111.0,3.0,and,,,and,,
115.0,per,through,do,,,eager,,,verdant,111.0,4.0,plains,110.0,5.0,greening,111.0,4.0,verdant,111.0,4.0
116.0,pectora,the chests,build,,,heat,120.0,-4.0,plains,110.0,6.0,striking,113.0,3.0,plains,110.0,6.0,plains,110.0,6.0
117.0,amorem,love,their,,,in,101.0,16.0,infusing,113.0,4.0,fond,114.0,3.0,kindling,113.0,4.0,thou,,
118.0,efficis, succeed (you),leafie,107.0,11.0,seas,102.0,16.0,gentle,114.0,4.0,love,117.0,1.0,the,,,dost,,
119.0,ut,that,roosts,108.0,11.0,in,103.0,16.0,love,117.0,2.0,into,115.0,4.0,lure,114.0,5.0,strike,113.0,6.0
120.0,cupide,eagerly,and,,,mountains,104.0,16.0,to,115.0,5.0,the,,,of,,,fond,114.0,6.0
121.0,generatim,"kind, specie",through,,,and,,,every,112.0,9.0,breasts,116.0,5.0,love,117.0,4.0,love,117.0,4.0
122.0,saecla,"for generations, for years",the,,,in,,,breast,116.0,6.0,of,,,in,,,into,115.0,7.0
123.0,propagent,"propagate, teem,",verdant,111.0,12.0,swiftest,106.0,17.0,thou,,,all,112.0,11.0,every,112.0,11.0,the,,
,,,field,110.0,,floods,105.0,,causest,118.0,,thou,,,breast,116.0,,hearts,116.0,
,,,soft,114.0,,in,,,glad,120.0,,constrainest,118.0,,thou,,,of,,
,,,flames,117.0,,leafy,107.0,,renewal,123.0,,them,,,bringest,118.0,,all,112.0,
,,,thou,,,forests,108.0,,of,,,each,,,the,,,and,,
,,,dost,,,and,,,their,,,after,,,eternal,,,makest,118.0,
,,,in,,,in,,,tribes,121.0,,its,,,generations,122.0,,them,,
,,,every,112.0,,verdant,111.0,,,,,kind,121.0,,forth,,,in,,
,,,breast,116.0,,plains,110.0,,,,,to,,,kind,121.0,,hot,,
,,,infuse,113.0,,to,,,,,,continue,123.0,,after,,,desire,120.0,
,,,so,,,propagate,123.0,,,,,their,,,kind,,,to,,
,,,a,,,their,,,,,,races,122.0,,,,,renew,123.0,
,,,fresh,,,kind,121.0,,,,,with,,,,,,the,,
,,,off-spring,121.0,,from,,,,,,desire,120.0,,,,,stock,,
,,,still,,,age,122.0,,,,,,,,,,,of,,
,,,the,,,to,,,,,,,,,,,,their,,
,,,age,122.0,,age,,,,,,,,,,,,races,122.0,
,,,renews,123.0,,,,,,,,,,,,,,each,,
,,,,,,,,,,,,,,,,,,after,,
,,,,,,,,,,,,,,,,,,his,,
,,,,,,,,,,,,,,,,,,own,,
,,,,,,,,,,,,,,,,,,kind,121.0,
,,,,,,,,,,,,,,,,,,,,
124.0,quae,because,since,124.0,0.0,since,124.0,0.0,since,124.0,0.0,since,124.0,0.0,and,,,and,,
125.0,quoniam,because (for),then,,,thou,,,thou,,,thou,,,since,124.0,1.0,since,124.0,1.0
126.0,rerum,things,ore,,,alone,128.0,-2.0,alone,128.0,-2.0,then,,,'tis,,,thou,,
127.0,naturam,nature,nature,127.0,0.0,dost,,,all,,,art,,,thou,,,alone,128.0,-1.0
128.0,sola,alone,thou,,,govern,129.0,-1.0,nature,127.0,1.0,sole,128.0,0.0,alone,128.0,0.0,art,,
129.0,gubernas,govern,sole,128.0,1.0,nature’s,127.0,2.0,rulest,129.0,0.0,mistress,129.0,0.0,guidest,129.0,0.0,pilot,129.0,0.0
130.0,nec,nothing,queen,,,laws,,,thus,,,of,,,the,,,to,,
131.0,sine,without,dost,,,and,,,nor,130.0,1.0,the,,,cosmos,127.0,4.0,the,,
132.0,te,you (acc),reign,129.0,3.0,nothing,130.0,2.0,without,131.0,1.0,nature,,,and,,,nature,127.0,5.0
133.0,quicquam,anything,nor,,,without,131.0,2.0,thee,132.0,1.0,of,,,without,131.0,2.0,of,,
134.0,dias,"dea, of deity",ought,130.0,4.0,thee,132.0,2.0,can,,,things,,,thee,132.0,2.0,things,126.0,8.0
135.0,in,in,without,131.0,4.0,can,,,aught,133.0,2.0,and,,,naught,133.0,2.0,and,,
136.0,luminis,of light,thee,132.0,4.0,rise,138.0,-2.0,to,,,without,131.0,5.0,is,,,nothing,130.0,6.0
137.0,oras,edges,may,,,to,,,light,136.0,1.0,thee,132.0,5.0,risen,138.0,-1.0,without,131.0,6.0
138.0,exoritur,arise,the,,,light,136.0,2.0,arise,138.0,0.0,nothing,133.0,5.0,to,,,thine,132.0,6.0
139.0,neque,nothing,light,136.0,3.0,without,,,nor,,,rises,138.0,1.0,reach,,,aid,,
140.0,fit,becomes,attain,,,thee,,,can,,,up,,,the,,,comes,138.0,2.0
141.0,laetum,happy,or,,,nothing,139.0,2.0,aught,139.0,2.0,into,,,shining,,,forth,,
142.0,neque,nothing,can,,,can,140.0,2.0,joyous,141.0,1.0,the,,,shores,137.0,5.0,into,,
143.0,amabile,lovable,be,,,look,,,or,,,divine,,,of,,,the,,
144.0,quicquam,anything,frolick,141.0,3.0,gay,141.0,3.0,aught,144.0,0.0,borders,137.0,7.0,light,136.0,8.0,bright,,
145.0,te,you (acc),or,,,or,,,lovely,143.0,2.0,of,,,nor,,,coasts,137.0,8.0
146.0,sociam,"be with, friend, associate,",be,,,lovely,143.0,3.0,be,140.0,6.0,light,136.0,10.0,aught,,,of,,
147.0,studeo,studying,pleasant,143.0,4.0,i,,,oh,,,nothing,139.0,8.0,of,,,light,136.0,11.0
148.0,scribendis,to write (writing),made,,,beg,,,be,150.0,-2.0,grows,140.0,8.0,joyful,141.0,7.0,nor,,
